
[15-Jun-2020 21:33:54.887993] DEBUG: pid 1, fpm_children_make(), line 421: [pool www] child 202 started
[15-Jun-2020 21:33:54.888281] DEBUG: pid 1, fpm_children_make(), line 421: [pool www] child 203 started
[15-Jun-2020 21:33:54.888617] DEBUG: pid 1, fpm_children_make(), line 421: [pool www] child 204 started
[15-Jun-2020 21:33:54.888904] DEBUG: pid 1, fpm_children_make(), line 421: [pool www] child 205 started
[15-Jun-2020 21:33:54.888924] DEBUG: pid 1, fpm_pctl_heartbeat(), line 460: heartbeat have been set up with a timeout of 666ms
[15-Jun-2020 21:33:54.888931] DEBUG: pid 1, fpm_event_loop(), line 366: 235320 bytes have been reserved in SHM
[15-Jun-2020 21:33:54.888937] NOTICE: pid 1, fpm_event_loop(), line 367: ready to handle connections
[15-Jun-2020 23:23:07.500478] DEBUG: pid 1, fpm_got_signal(), line 85: received SIGTERM
[15-Jun-2020 23:23:07.500508] NOTICE: pid 1, fpm_got_signal(), line 86: Terminating ...
[15-Jun-2020 23:23:07.500520] DEBUG: pid 1, fpm_pctl(), line 231: switching to 'terminating' state
[15-Jun-2020 23:23:07.500534] DEBUG: pid 1, fpm_pctl_kill_all(), line 159: [pool www] sending signal 15 SIGTERM to child 205
[15-Jun-2020 23:23:07.500545] DEBUG: pid 1, fpm_pctl_kill_all(), line 159: [pool www] sending signal 15 SIGTERM to child 204
[15-Jun-2020 23:23:07.500558] DEBUG: pid 1, fpm_pctl_kill_all(), line 159: [pool www] sending signal 15 SIGTERM to child 203
[15-Jun-2020 23:23:07.500568] DEBUG: pid 1, fpm_pctl_kill_all(), line 159: [pool www] sending signal 15 SIGTERM to child 202
[15-Jun-2020 23:23:07.500580] DEBUG: pid 1, fpm_pctl_kill_all(), line 159: [pool www] sending signal 15 SIGTERM to child 201
[15-Jun-2020 23:23:07.500591] DEBUG: pid 1, fpm_pctl_kill_all(), line 159: [pool www] sending signal 15 SIGTERM to child 200
[15-Jun-2020 23:23:07.500602] DEBUG: pid 1, fpm_pctl_kill_all(), line 159: [pool www] sending signal 15 SIGTERM to child 199
[15-Jun-2020 23:23:07.500613] DEBUG: pid 1, fpm_pctl_kill_all(), line 159: [pool www] sending signal 15 SIGTERM to child 198
[15-Jun-2020 23:23:07.500628] DEBUG: pid 1, fpm_pctl_kill_all(), line 159: [pool www] sending signal 15 SIGTERM to child 197
